institute,city,url
Arts et Métiers Sciences et Technologies,Paris,https://artsetmetiers.fr
Audencia Business School,Nantes,https://www.audencia.com
Avignon Art School,Avignon,http://esaavignon.eu
Avignon University,Avignon,https://univ-avignon.fr
Beaux-Arts of Paris,Paris,https://www.beauxartsparis.fr
Bordeaux INP,Talence,https://www.bordeaux-inp.fr
"Bordeaux INP
ENSC",Talence,https://ensc.bordeaux-inp.fr
"Bordeaux INP
ENSCBP",Pessac,https://enscbp.bordeaux-inp.fr
"Bordeaux INP
ENSEGID",Talence,https://ensegid.bordeaux-inp.fr
"Bordeaux INP
ENSEIRB-MATMECA",Talence,https://enseirb-matmeca.bordeaux-inp.fr
"Bordeaux INP
ENSTBB",Bordeaux,https://enstbb.bordeaux-inp.fr
Bordeaux Montaigne University,Pessac,https://www.u-bordeaux-montaigne.fr
"Bordeaux Montaigne University
Inspé Bordeaux",Mérignac,https://www.inspe-bordeaux.fr
Bordeaux Sciences Agro,Gradignan,https://www.agro-bordeaux.fr
Bordeaux University,Talence,https://www.u-bordeaux.com
Brest Business School,Brest,https://brest-bs.com
Brest National School of Engineering,Brest,https://www.enib.fr
Burgundy School of Business,Dijon,https://www.bsb-education.com
Burgundy University,Dijon,https://www.u-bourgogne.fr
"Burgundy University
ESIREM",Dijon,https://esirem.u-bourgogne.fr
"Burgundy University
Inspé Dijon",Dijon,https://inspe.u-bourgogne.fr
Caen Normandie University,Caen,https://www.unicaen.fr
"Caen Normandie University
ESIX Normandie",Cherbourg-en-Cotentin,http://esix.unicaen.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
"Aix-Marseille University
Pythéas Institute - Observatory of Sciences of the Universe",Marseille,https://www.osupytheas.fr
"Aix-Marseille University
Polytech Marseille",Marseille,https://polytech.univ-amu.fr
Angers University,Angers,https://www.univ-angers.fr
"Angers University
Polytech Angers",Angers,http://www.polytech-angers.fr
Artois University,Arras,http://www.univ-artois.fr
Arts et Métiers Sciences et Technologies,Paris,https://artsetmetiers.fr
Audencia Business School,Nantes,https://www.audencia.com
Avignon Art School,Avignon,http://esaavignon.eu
Avignon University,Avignon,https://univ-avignon.fr
Beaux-Arts of Paris,Paris,https://www.beauxartsparis.fr
Bordeaux INP,Talence,https://www.bordeaux-inp.fr
"Bordeaux INP
ENSC",Talence,https://ensc.bordeaux-inp.fr
"Bordeaux INP
ENSCBP",Pessac,https://enscbp.bordeaux-inp.fr
"Bordeaux INP
ENSEGID",Talence,https://ensegid.bordeaux-inp.fr
"Bordeaux INP
ENSEIRB-MATMECA",Talence,https://enseirb-matmeca.bordeaux-inp.fr
"Bordeaux INP
ENSTBB",Bordeaux,https://enstbb.bordeaux-inp.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
"Aix-Marseille University
Pythéas Institute - Observatory of Sciences of the Universe",Marseille,https://www.osupytheas.fr
"Aix-Marseille University
Polytech Marseille",Marseille,https://polytech.univ-amu.fr
Angers University,Angers,https://www.univ-angers.fr
"Angers University
Polytech Angers",Angers,http://www.polytech-angers.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
"Aix-Marseille University
Pythéas Institute - Observatory of Sciences of the Universe",Marseille,https://www.osupytheas.fr
"Aix-Marseille University
Polytech Marseille",Marseille,https://polytech.univ-amu.fr
Angers University,Angers,https://www.univ-angers.fr
"Angers University
Polytech Angers",Angers,http://www.polytech-angers.fr
Artois University,Arras,http://www.univ-artois.fr
Arts et Métiers Sciences et Technologies,Paris,https://artsetmetiers.fr
Audencia Business School,Nantes,https://www.audencia.com
Avignon Art School,Avignon,http://esaavignon.eu
Avignon University,Avignon,https://univ-avignon.fr
Beaux-Arts of Paris,Paris,https://www.beauxartsparis.fr
Bordeaux INP,Talence,https://www.bordeaux-inp.fr
"Bordeaux INP
ENSC",Talence,https://ensc.bordeaux-inp.fr
"Bordeaux INP
ENSCBP",Pessac,https://enscbp.bordeaux-inp.fr
"Bordeaux INP
ENSEGID",Talence,https://ensegid.bordeaux-inp.fr
"Bordeaux INP
ENSEIRB-MATMECA",Talence,https://enseirb-matmeca.bordeaux-inp.fr
"Bordeaux INP
ENSTBB",Bordeaux,https://enstbb.bordeaux-inp.fr
Bordeaux Montaigne University,Pessac,https://www.u-bordeaux-montaigne.fr
"Bordeaux Montaigne University
Inspé Bordeaux",Mérignac,https://www.inspe-bordeaux.fr
Bordeaux Sciences Agro,Gradignan,https://www.agro-bordeaux.fr
Bordeaux University,Talence,https://www.u-bordeaux.com
Brest Business School,Brest,https://brest-bs.com
Brest National School of Engineering,Brest,https://www.enib.fr
Burgundy School of Business,Dijon,https://www.bsb-education.com
Burgundy University,Dijon,https://www.u-bourgogne.fr
"Burgundy University
ESIREM",Dijon,https://esirem.u-bourgogne.fr
"Burgundy University
Inspé Dijon",Dijon,https://inspe.u-bourgogne.fr
Caen Normandie University,Caen,https://www.unicaen.fr
"Caen Normandie University
ESIX Normandie",Cherbourg-en-Cotentin,http://esix.unicaen.fr
"Caen Normandie University
Inspé Normandie Caen",Caen,http://inspe.unicaen.fr
Caen-Cherbourg School of Arts and Media,Caen,http://www.esam-c2.fr
Cambrai School of Art and Communication,Cambrai,http://www.esac-cambrai.net/wordpress
Catholic Institute of Rennes,Bruz,https://www.icrennes.org
Centrale Lille,Villeneuve d'Ascq,https://ecole.centralelille.fr
"Centrale Lille
National School of Chemistry of Lille",Villeneuve d’Ascq,https://www.ensc-lille.fr
"Centrale Lille
IG21",Lens,https://ig2i.centralelille.fr
"Centrale Lille
ITEEM",Villeneuve d'Ascq Cedex,https://iteem.centralelille.fr
Centrale Lyon,Ecully,https://www.ec-lyon.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
"Aix-Marseille University
Pythéas Institute - Observatory of Sciences of the Universe",Marseille,https://www.osupytheas.fr
"Aix-Marseille University
Polytech Marseille",Marseille,https://polytech.univ-amu.fr
Angers University,Angers,https://www.univ-angers.fr
"Angers University
Polytech Angers",Angers,http://www.polytech-angers.fr
Artois University,Arras,http://www.univ-artois.fr
Arts et Métiers Sciences et Technologies,Paris,https://artsetmetiers.fr
Audencia Business School,Nantes,https://www.audencia.com
Avignon Art School,Avignon,http://esaavignon.eu
Avignon University,Avignon,https://univ-avignon.fr
Beaux-Arts of Paris,Paris,https://www.beauxartsparis.fr
Bordeaux INP,Talence,https://www.bordeaux-inp.fr
"Bordeaux INP
ENSC",Talence,https://ensc.bordeaux-inp.fr
"Bordeaux INP
ENSCBP",Pessac,https://enscbp.bordeaux-inp.fr
"Bordeaux INP
ENSEGID",Talence,https://ensegid.bordeaux-inp.fr
"Bordeaux INP
ENSEIRB-MATMECA",Talence,https://enseirb-matmeca.bordeaux-inp.fr
"Bordeaux INP
ENSTBB",Bordeaux,https://enstbb.bordeaux-inp.fr
Bordeaux Montaigne University,Pessac,https://www.u-bordeaux-montaigne.fr
"Bordeaux Montaigne University
Inspé Bordeaux",Mérignac,https://www.inspe-bordeaux.fr
Bordeaux Sciences Agro,Gradignan,https://www.agro-bordeaux.fr
Bordeaux University,Talence,https://www.u-bordeaux.com
Brest Business School,Brest,https://brest-bs.com
Brest National School of Engineering,Brest,https://www.enib.fr
Burgundy School of Business,Dijon,https://www.bsb-education.com
Burgundy University,Dijon,https://www.u-bourgogne.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
Business and Development School 3A,Lyon,https://www.ecole3a.edu
ISTOM,Angers,https://www.istom.fr
KEDGE Business School,Talence,https://kedge.edu
Paris 1 Panthéon-Sorbonne University,Paris,https://www.pantheonsorbonne.fr
University of Paris 8 Vincennes - Saint-Denis,Saint-Denis,https://www.univ-paris8.fr
"University Paris-Pantheon-Assas
ISIT",Paris,https://www.isit-paris.fr
"SKEMA Business School
SKEMA Business School - Belo Horizonte Campus",Belo Horizonte,https://www.skema.edu.br
Agro Institute,Paris,https://www.institut-agro.fr
"Agro Institute
Agro Institute Dijon",Dijon,https://institut-agro-dijon.fr
"Agro Institute
Agro Institute Montpellier",Montpellier,https://www.institut-agro-montpellier.fr
"Agro Institute
Agro Institute Rennes-Angers",Rennes,https://www.agrocampus-ouest.fr
Air Force Academy,Salon-de-Provence Air,https://www.ecole-air-espace.fr
Aix-Marseille University,Marseille,https://www.univ-amu.fr
"Aix-Marseille University
Aix-Marseille School of Journalism and Communication",Marseille,https://ejcam.univ-amu.fr
"Aix-Marseille University
Inspé Aix Marseille",Marseille,https://inspe.univ-amu.fr
"Aix-Marseille University
Institute of Public Management and Territorial Governance",Aix-en-Provence,https://impgt.univ-amu.fr
"Aix-Marseille University
Pythéas Institute - Observatory of Sciences of the Universe",Marseille,https://www.osupytheas.fr
"Aix-Marseille University
Polytech Marseille",Marseille,https://polytech.univ-amu.fr
Angers University,Angers,https://www.univ-angers.fr
"Angers University
Polytech Angers",Angers,http://www.polytech-angers.fr
Artois University,Arras,http://www.univ-artois.fr
Arts et Métiers Sciences et Technologies,Paris,https://artsetmetiers.fr
Audencia Business School,Nantes,https://www.audencia.com
Avignon Art School,Avignon,http://esaavignon.eu
Avignon University,Avignon,https://univ-avignon.fr
Beaux-Arts of Paris,Paris,https://www.beauxartsparis.fr
Bordeaux INP,Talence,https://www.bordeaux-inp.fr
"Bordeaux INP
ENSC",Talence,https://ensc.bordeaux-inp.fr
"Bordeaux INP
ENSCBP",Pessac,https://enscbp.bordeaux-inp.fr
"Bordeaux INP
ENSEGID",Talence,https://ensegid.bordeaux-inp.fr
"Bordeaux INP
ENSEIRB-MATMECA",Talence,https://enseirb-matmeca.bordeaux-inp.fr
"Bordeaux INP
ENSTBB",Bordeaux,https://enstbb.bordeaux-inp.fr
Bordeaux Montaigne University,Pessac,https://www.u-bordeaux-montaigne.fr
"Bordeaux Montaigne University
Inspé Bordeaux",Mérignac,https://www.inspe-bordeaux.fr
